Reporting Account Short Number,Reporting Account Name,Reporting Account Indicator,Source Account Short Number,Source Account Name,As of Date,Security Number,Country of Risk Exposure Code,Country of Risk Exposure Name,Segment Description,Category Description,Sector Description,Industry Description,Security Description 1,Security Description 2,Custom,Account Base Currency,Exch Rate,Issue Currency,Traded Shares/Par,Amort Cost Base,Amort Cost Local,Price Base,Price Local,Market Value Base,Market Value Local,Net Income Receivable Base,Net Income Receivable Local,Market Value with Accrual Base,Coupon Rate,Maturity Date,Unrealized Market Gain/Loss Base,Unrealized Market Gain/Loss Local,Unrealized Currency Gain/Loss,Total Unrealized Gain/Loss,% of Market Value,ISIN,Sedol,Cusip,Ticker,Custody Account Number,Income Currency,Security Identifier,Underlying Security ID,FAS 157 Level,Capital Shares Receivable,Capital Shares Payable,Total Market Value w/ Cap Shares Rec/Pay
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,07556QBR5,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - OTHER,BEAZER HOMES USA INC,5.875% 10/15/2027 DD 10/10/17,FIXED INCOME,CAD,0.765902,USD,500000,564762,430000,129.75158,99.377,648757.9,496885,1491.52,1142.36,650249.42,5.875,10/15/2027,87328.4,66885,-3332.5,83995.9,,US07556QBR56,BFMR519,07556QBR5,,YVRF4001002,USD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,148411AK7,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CONVERTIBLE,FIXED INCOME - US BONDS - CONVERTIBLE,AM CASTLE & CO 144A,5.000% 08/31/2022 DD 08/31/17,FIXED INCOME,CAD,0.765902,USD,632116,715750.55,574379,88.131375,67.5,557092.52,426678.3,3324.21,2546.02,560416.73,5,8/31/2022,-192845.41,-147700.7,34187.38,-158658.03,,US148411AK71,BFZZ736,148411AK7,,YVRF4001002,USD,PRIVATE PLACEMENT,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,156504AH5,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - OTHER,CENTURY COMMUNITIES INC,5.875% 07/15/2025 DD 07/15/17,FIXED INCOME,CAD,0.765902,USD,500000,615164.37,473750,136.766838,104.75,683834.19,523750,11079.89,8486.11,694914.08,5.875,7/15/2025,65282.5,50000,3387.32,68669.82,,US156504AH51,BD254W3,156504AH5,,YVRF4001002,USD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,165167CY1,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CONVERTIBLE,FIXED INCOME - US BONDS - CONVERTIBLE,CHESAPEAKE ENERGY CORP,VAR RT  09/15/2026 DD 10/05/16,FIXED INCOME,CAD,0.765902,USD,500000,699309.85,534375,74.748463,57.25,373742.31,286250,4388.43,3361.11,378130.74,5.5,9/15/2026,-323964.41,-248125,-1603.13,-325567.54,,US165167CY16,BZ1KK25,165167CY1,,YVRF4001002,USD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,29250NAS4,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,ENBRIDGE INC,VAR RT  07/15/2077 DD 07/14/17,FIXED INCOME,CAD,0.765902,USD,1000000,1248473.9,932500,133.178911,102.002,1331789.11,1020020,20745.33,15888.89,1352534.44,5.5,7/15/2077,114270.48,87520,-30955.27,83315.21,,US29250NAS45,BF7GX73,29250NAS4,,YVRF4001002,USD,FTF,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,31154R208,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,FARMLAND PARTNERS INC,PFD 6.000% CUMULATIVE,EQUITIES,CAD,0.765902,USD,10000,241895.54,183164,31.792578,24.35,317925.78,243500,0,0,317925.78,0,,78777.7,60336,-2747.46,76030.24,,US31154R2085,BF5Q6N2,31154R208,FPI PB,YVRF4001002,USD,,,1,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,38148BAD0,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - BANKS & FINANCE,GOLDMAN SACHS GROUP INC/THE,VAR RT  12/31/2049 DD 11/01/17,FIXED INCOME,CAD,0.765902,USD,1000000,1205047.5,912500,129.909564,99.498,1299095.64,994980,30646.5,23472.22,1329742.14,5,12/31/2049,107690.01,82480,-13641.87,94048.14,,US38148BAD01,BF2JKZ4,38148BAD0,,YVRF4001002,USD,FTF,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,422704AD8,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - INDUSTRIALS,HECLA MINING CO,6.875% 05/01/2021 DD 11/01/13,FIXED INCOME,CAD,0.765902,USD,500000,546960.23,486650,129.570095,99.238,647850.47,496190,22191.52,16996.53,670041.99,6.875,5/1/2021,12455.9,9540,88434.34,100890.24,,US422704AD83,BJ05717,422704AD8,,YVRF4001002,USD,,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,44965UAA2,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - OTHER FIXED INCOME,FIXED INCOME - US BONDS - OTHER FIXED INCOME,ILFC E-CAPITAL TRUST II 144A,VAR RT  12/21/2065 DD 12/21/05,FIXED INCOME,CAD,0.765902,USD,1000000,1045579.02,950459.19,97.92375,75,979237.5,750000,5540.3,4243.33,984777.8,4.07583309,12/21/2065,-261729.55,-200459.19,195388.03,-66341.52,,US44965UAA25,B0V0S60,44965UAA2,INTL65,YVRF4001002,USD,30/360,,2,,,0
975640017,VERTEX ENHNCD INC FD,M,975540017,VERTEX ENHNCD INC FD-VER,10/28/2019,45685EAG1,US,UNITED STATES,FIXED INCOME,FIXED INCOME - US BONDS,FIXED INCOME - US BONDS - CORPORATE,FIXED INCOME - US BONDS - CORPORATE - BANKS & FINANCE,VOYA FINANCIAL INC,VAR RT  05/15/2053 DD 05/16/13,FIXED INCOME,CAD,0.765902,USD,800000,847036.45,767000,138.270946,105.902,1106167.57,847216,26884.78,20591.11,1133052.35,5.65,5/15/2053,104734.02,80216,154397.1,259131.12,,US45685EAG17,BHZXTP0,45685EAG1,,YVRF4001002,USD,FTF,,2,,,0
